,中国,美国,印度
2000,1.628,3.35,2.056
2001,1.563,3.303,2.0305
2002,1.566,3.217,2.0205
2003,1.57,3.122,2.0475
2004,1.605,3.046,2.0515
2005,1.624,2.958,2.057
2006,1.644,2.864,2.108
2007,1.666,2.784,2.12
2008,1.701,2.718,2.072
2009,1.714,2.673,2.002
2010,1.687,2.603,1.931
2011,1.668,2.536,1.8945
2012,1.798,2.467,1.8805
2013,1.714,2.406,1.8575
2014,1.769,2.306,1.8625
2015,1.67,2.287,1.8435
2016,1.772,2.273,1.8205
2017,1.813,2.2,1.7655
2018,1.554,2.177,1.7295
2019,1.496,2.109,1.706
2020,1.281,2.051,1.6415
2021,1.164,2.031,1.664
